family,before,after,framing,before_rate,after_rate,delta,delta_rel
OpenAI,gpt-4o,gpt-5.4,A,0.1348,0.0123,-0.1225,-0.909
OpenAI,gpt-4o,gpt-5.4,B,0.3431,0.0074,-0.3358,-0.979
OpenAI,gpt-4o,gpt-5.4,C,0.2083,0.0172,-0.1912,-0.918
OpenAI,gpt-4o,gpt-5.4,D,0.4240,0.0221,-0.4020,-0.948
OpenAI,gpt-4o,gpt-5.4,mean,0.2776,0.0147,-0.2629,-0.947
Google,gemini-2,gemini-3,A,0.5147,0.3235,-0.1912,-0.371
Google,gemini-2,gemini-3,B,0.6397,0.4387,-0.2010,-0.314
Google,gemini-2,gemini-3,C,0.4926,0.4289,-0.0637,-0.129
Google,gemini-2,gemini-3,D,0.6348,0.5686,-0.0662,-0.104
Google,gemini-2,gemini-3,mean,0.5705,0.4400,-0.1305,-0.229
DeepSeek,r1,V3.2,A,0.3382,0.1299,-0.2083,-0.616
DeepSeek,r1,V3.2,B,0.4363,0.2574,-0.1789,-0.410
DeepSeek,r1,V3.2,C,0.4265,0.1814,-0.2451,-0.575
DeepSeek,r1,V3.2,D,0.5490,0.4265,-0.1225,-0.223
DeepSeek,r1,V3.2,mean,0.4375,0.2488,-0.1887,-0.431
Qwen,qwen2.5-7b,qwen3.5-9b,A,0.4828,0.0074,-0.4755,-0.985
Qwen,qwen2.5-7b,qwen3.5-9b,B,0.4853,0.0270,-0.4583,-0.944
Qwen,qwen2.5-7b,qwen3.5-9b,C,0.4951,0.0368,-0.4583,-0.926
Qwen,qwen2.5-7b,qwen3.5-9b,D,0.5441,0.0735,-0.4706,-0.865
Qwen,qwen2.5-7b,qwen3.5-9b,mean,0.5018,0.0362,-0.4657,-0.928
